gene,logFC,pvals,adj_pvals,cluster
SPSB3,1.3624215,0.003770586812376832,0.021854026658705946,7
FAM13B,2.3425775,0.003805186131024665,0.022020315393495218,7
SENP6,1.5807796,0.0038486034251122617,0.022237038325872586,7
ARHGEF6,2.571129,0.0038850479319891135,0.02242057685596126,7
PARP15,7.1702228,0.003958940916376017,0.022792110758010294,7
SGMS1,2.262426,0.0039381186579407,0.022683915147860043,7
KCTD13,2.848057,0.003996873002923051,0.022980448160550216,7
GIMAP2,2.9171867,0.004004945394889221,0.02301745604694643,7
IGKV4-1,4.2346964,0.0040201562134155175,0.023089051293522237,7
ZFAND2B,1.8099,0.004001103632653783,0.022999317385234024,7
PASK,3.462744,0.004049389363685278,0.023233077086446785,7
MIR155HG,3.4120939,0.0040741070002047,0.023362903555114695,7
ADA,2.8661454,0.004104214306472583,0.02347935392348574,7
BIRC3,1.6100341,0.004082963566748502,0.023397690243005552,7
NUMB,1.8085666,0.00412057118566715,0.023564889708177644,7
DDX60L,2.5172307,0.00418107822017696,0.02385803752687231,7
RNASET2,1.0930773,0.00410128153401526,0.023470582482921998,7
ARHGEF3,2.4342525,0.004188076646738004,0.023886752908608647,7
CARD8,2.278553,0.0041987277424450145,0.023934318016544564,7
STAT5A,2.5010474,0.004222632639182538,0.024046064745470545,7
LY9,4.2180033,0.004241183820947751,0.024127270499495267,7
CRLF3,3.0123134,0.004254424376907512,0.024177846158226848,7
HDAC7,2.064641,0.004241208874661582,0.024127270499495267,7
ILK,1.2424458,0.004211494799874219,0.02399078584962316,7
MARS1,4.346966,0.0043117029986080874,0.024457776133318763,7
R3HDM4,1.7500548,0.00428116489920415,0.02431398574236396,7
FAM78A,4.1952596,0.004379532533277968,0.024813158901803432,7
WARS1,3.7169695,0.004399964003431646,0.02490367746187999,7
CD28,3.770402,0.004448157654118272,0.025159469793723604,7
AUP1,1.0192999,0.004382746880865988,0.024822984317988194,7
DENND1C,4.3622165,0.004475047255508679,0.02529876285134276,7
SAMD9,2.0307753,0.004438782653646607,0.02511067785224504,7
ST6GALNAC6,3.8696,0.004507609863273326,0.025448534324869657,7
NUTM2A-AS1,1.8787512,0.004492366757593833,0.02538811683512296,7
IFNAR2,1.9138836,0.0045023091090631,0.025431449954039315,7
GRK2,2.1397026,0.004524980523225473,0.025539416682988418,7
PKIA,3.3955646,0.004573147313345267,0.025783818126897562,7
MIR4435-2HG,1.4683249,0.00453004892158648,0.025558010240358642,7
SIGIRR,1.2679931,0.004580204178096539,0.025810589438430113,7
TRIM38,1.6491815,0.004612023839931136,0.025968086556174285,7
TRIM14,2.087178,0.0046608518263211145,0.02620342459045198,7
GRK6,2.480029,0.004697709462421156,0.026392943564332996,7
IL4R,2.0892935,0.004750671488525997,0.026625294798237647,7
MAD1L1,2.334135,0.004845544648292459,0.02707837604937977,7
YARS1,4.161012,0.00492189513163665,0.027431918346664155,7
KAT8,1.6421822,0.004875299219258625,0.027221976213276763,7
CCM2,1.6395528,0.004887346677182279,0.027275623111376178,7
CLEC2B,1.432649,0.004888653623050228,0.027276675487484362,7
KXD1,1.1443089,0.004911986401050046,0.02738124245930191,7
TCF7,2.0932348,0.005007931957969122,0.027869760378669704,7
DENND10,4.0257406,0.005039786758054019,0.028014499113670842,7
PTBP3,1.1946036,0.00496467516844191,0.027642790475549486,7
PRKX,1.7228248,0.0050319905697822,0.02798971736336066,7
ARID5A,1.5563893,0.005034233980615086,0.027992911462833323,7
ADD3,1.4451957,0.005023748033865968,0.02795314081020213,7
CNPPD1,1.5630515,0.005075860739129842,0.028186994213767223,7
TRAPPC5,2.9448795,0.0051238150912378995,0.02841565508849378,7
POLR3GL,1.5236721,0.005107667009669721,0.02834953817165847,7
DDB2,2.0683522,0.005133372697712335,0.028459248537846184,7
KLRG1,4.0203075,0.00517259365309149,0.02864827670382128,7
PLAAT3,2.8166327,0.005204231204042345,0.028790222466565117,7
CMPK2,2.6516154,0.005241942675374954,0.028970176186315925,7
TMEM109,1.4742588,0.0052279087397278405,0.02890214060313359,7
RASA2,1.7951936,0.0053037401747492415,0.029258675855471105,7
KLHL6,3.211574,0.005373024388675685,0.029597078505595523,7
MICAL1,2.7096868,0.005429303000897935,0.029872744742965494,7
GLIPR2,1.7643018,0.005415229435567715,0.02980508869353081,7
CLN3,2.6871514,0.005510235306802899,0.030253527979288923,7
TOX,4.249409,0.005534461406236822,0.030366656310582243,7
RAB33A,4.1919503,0.005576673384778229,0.03053333365962236,7
SNX6,1.0808601,0.005498304462119698,0.03020780179589792,7
LYST,1.8615369,0.005572909685672111,0.030528456617098434,7
TNIK,2.360248,0.005636802103236059,0.03081857127177121,7
SEPTIN11,3.3310962,0.005699586937251396,0.03112046863647236,7
SHISAL2A,5.5503106,0.005734684865068936,0.03128103188474178,7
KIAA0100,2.20676,0.005764430438709617,0.03142284435962283,7
TAF15,1.3176754,0.005753667643773039,0.031369272828314615,7
AOAH,3.4629142,0.005837100265909128,0.031767350319464226,7
ATP6V0A2,2.4563673,0.00589636401283558,0.03201715158726213,7
ENO2,2.3672845,0.005913180168258998,0.032092876379219266,7
SYTL1,1.6953454,0.005895529632652145,0.03201715158726213,7
RGL4,4.0343122,0.005962924351422444,0.0323262398046,7
PSIP1,1.2563226,0.005891140302279462,0.031999147672672944,7
IGKV1-5,4.6723332,0.006013290706816306,0.032553232534765046,7
NSF,2.0365787,0.006001842633441785,0.03250045265874571,7
SESN1,2.2435436,0.006090676253886562,0.03291772030802597,7
ST3GAL1,1.5388159,0.006095879451125617,0.032935227556411775,7
HSPA14,2.5712264,0.006151111158890024,0.0331962058536332,7
DGKA,3.402205,0.0062317317778721225,0.033555709674363284,7
ST8SIA4,2.4619846,0.006212032297932137,0.03348726700497297,7
LINC00869,5.319307,0.006258595508467868,0.03367873446968086,7
IFI27L2,1.2186239,0.006161364836110135,0.03324619336679054,7
CZIB,3.5474887,0.00629523428038491,0.03385959797921589,7
MALT1,2.167185,0.0062727865565978935,0.03374427167519647,7
CRTC2,2.477028,0.006400752827510538,0.03437752611489687,7
MAPK1IP1L,1.2488776,0.006398597519166492,0.03437145409839258,7
PPP6R1,1.6942195,0.006438729699356797,0.034559358752780656,7
PPP1R2,1.0982052,0.006432920857281304,0.03453923458845401,7
NGRN,2.14572,0.006562180859618421,0.03514885151907721,7
PRKCB,2.6602776,0.006580562666619367,0.03523605561958496,7
NLRP1,2.7148275,0.00663266424316803,0.035475393299330076,7
ZFAND3,1.4331901,0.006644448891447334,0.035532758333551503,7
EOMES,4.9895077,0.006780431055456143,0.03614481482880362,7
NOP58,1.1116256,0.006677295926608291,0.03567342358408319,7
SNRPA,1.4206667,0.006745475910625569,0.03598123529234927,7
GARS1,3.633464,0.006961616523095755,0.03700468776563466,7
TNFRSF18,2.9115098,0.006968010818012349,0.037026940881963274,7
ZC3HAV1,1.330768,0.006976951332241212,0.0370568368384327,7
PTK2B,2.35222,0.00710002599319056,0.03765685829184133,7
DPYD,2.3945024,0.007105092488800322,0.03767613283137937,7
CNOT6L,2.00104,0.007105906690060102,0.03767613283137937,7
DDOST,1.1120787,0.0070974891618145524,0.037655312239231555,7
ILKAP,1.6423646,0.007161532204231277,0.03794706977284696,7
