names	scores	logFC	pvals	adj_pvals	cluster
TUBA1C	5.9007688	2.2195117	1.7590374891439204e-06	2.5934011614670874e-05	13
HNRNPA3	5.8966208	1.4017208	1.5094649655907908e-06	2.2521781321566155e-05	13
DPM1	5.8849087	2.2355528	1.8673947598005493e-06	2.7351217309375643e-05	13
SNHG8	5.875046	1.3292422	1.4211926412204201e-06	2.1337610733739534e-05	13
NEBL	5.8724856	2.741332	2.003275562002406e-06	2.9099985112656e-05	13
MFN1	5.8716745	2.5666552	1.9071096127092874e-06	2.7859914425035806e-05	13
TMEM205	5.862657	1.9303107	1.9093598495185496e-06	2.788064375825062e-05	13
RRP1B	5.855667	2.429746	2.017712039623163e-06	2.9284326923842713e-05	13
MRPL58	5.8394275	2.103654	2.0165601267968427e-06	2.9280278447139787e-05	13
APP	5.8355913	1.3376752	1.6129444953647171e-06	2.3991029409768503e-05	13
MYC	5.8107142	2.1376593	2.1637313312463527e-06	3.121450003498233e-05	13
GPAA1	5.7749844	1.7347897	2.248428684253517e-06	3.2366758153882923e-05	13
PSIP1	5.769319	2.0447698	2.3968065413705413e-06	3.4267386276261434e-05	13
NDRG2	5.768223	2.6388717	2.656605335632769e-06	3.75179787631405e-05	13
TMEM167A	5.7655225	1.7174071	2.398099310319734e-06	3.4271260744539496e-05	13
TBCB	5.7638674	1.4439771	2.1504207066422192e-06	3.1035826558298914e-05	13
CKS1B	5.7560687	2.047886	2.5502814511695215e-06	3.6184005987172974e-05	13
LARP6	5.7474995	2.5948114	2.7289611656192087e-06	3.844270745738508e-05	13
SRP72	5.7140794	1.626152	2.6562915506400528e-06	3.75179787631405e-05	13
COX5A	5.713869	1.1537193	2.270594611786807e-06	3.258793918439936e-05	13
HNRNPH3	5.6789384	1.7913873	3.104859519817146e-06	4.312219178227201e-05	13
TFG	5.6695824	1.7109953	3.0826520186326052e-06	4.2884791106161846e-05	13
KCNQ1OT1	5.658988	2.0828223	3.293840734834296e-06	4.555823178848541e-05	13
MRPS5	5.6566167	1.831493	3.2120934429487708e-06	4.453775368745131e-05	13
ALDH7A1	5.649105	2.4485228	3.6781859470142663e-06	5.0265577477088454e-05	13
MORF4L2	5.644967	1.1950672	2.614278608153904e-06	3.702935759970021e-05	13
SNRPD1	5.642909	1.4398726	3.1606566725224457e-06	4.384267388464655e-05	13
TPRKB	5.641763	1.9082443	3.4689042310953803e-06	4.7704188936109124e-05	13
