cluster,gene,logFC,pvals,adj_pvals
2,OLFML2B,2.0292974,0.009794065767836063,0.025989903407050846
2,CD209,26.249813,0.009932107801291438,0.026298468903594784
2,GPR155,1.9415644,0.009957343096249377,0.026342200570010577
2,ASAP1,1.0608268,0.009947521367975228,0.02632774417247583
2,DDX58,1.8110583,0.010029250207954667,0.026493765450246905
2,LRCH1,1.7587895,0.010102545846533058,0.02664079845215373
2,GNA12,1.3915927,0.010140539294400279,0.02672011088362703
2,WNT5A,2.3220704,0.010341160029910923,0.027171214358920903
2,CBL,1.6238416,0.010300314724940415,0.027083522631127777
2,CPQ,1.176878,0.010320263575967832,0.02713161143847274
2,METTL7A,1.2010227,0.010395386638292429,0.027274160311525093
2,CCR5,2.4751651,0.010465381865196105,0.027410197524983356
2,ZNF438,2.8564568,0.010561967269498922,0.027619270152078323
2,AKNA,1.4805456,0.010488011169516946,0.027461530907097166
2,GBE1,1.4911638,0.0105864581867298,0.027671337786712488
2,KLF2,1.2077653,0.01058481708736833,0.027671038266905926
2,ADAM9,1.2553456,0.010679271597014808,0.02788177390740133
2,USP3,1.1054866,0.010723974818162773,0.027982365269733207
2,TMEM37,3.9156845,0.010933429543862104,0.028454197001284404
2,EDEM2,1.3058004,0.010854551790653557,0.028286437652268116
2,TBC1D5,1.231351,0.010905858737444905,0.02839156991722875
2,PRKX,1.2014694,0.010970853628002816,0.028532089485625113
2,SOS2,1.5380963,0.011045532845157703,0.028689264061351725
2,NOD2,2.536837,0.011173110622118818,0.02894254208082485
2,CLN8,1.1655811,0.01112159963522491,0.02883725312369074
2,DISC1,3.8440685,0.01147573627063117,0.02956939180920131
2,EPHB2,3.0406706,0.011507629076249545,0.029639058674102558
2,TMEM255B,2.4206433,0.011512825177192907,0.02964388948678634
2,AC096667.1,26.385561,0.011590838365783535,0.029819348148816083
2,BTN2A2,2.046059,0.011577910709764569,0.029790317592037235
2,PHC2,1.0862772,0.011677297461238466,0.02999190652500886
2,TPST2,1.065765,0.011658424593669845,0.02995920932938096
2,PPP4R3A,1.0067724,0.011703669929201953,0.030049918527853228
2,UBR4,1.0566514,0.011723057103847627,0.030082652338823037
2,ZNF124,1.8079985,0.011832683920333787,0.030303908084754246
2,RAPGEF2,1.7542875,0.011986116089540748,0.030662196776052093
2,ERBIN,1.0469036,0.012021118123064672,0.030734836188580365
2,PARP4,1.7013001,0.012162841714249502,0.0310573083186647
2,MAP1S,1.6683083,0.012198247203443802,0.03113455745660741
2,ST3GAL5,1.9061533,0.01230547539207933,0.03131564683872273
2,NUDT3,1.021043,0.01227421830594321,0.03128001620017328
2,TOR1B,1.6942683,0.012440504783574684,0.03161932560457912
2,GLMP,1.269988,0.01250702403081403,0.03175929289534365
2,IFFO1,2.4509323,0.012635173647733058,0.03204222058092573
2,PPM1M,1.5074441,0.01256849082441447,0.031905294259124556
2,TBC1D2B,1.5372869,0.012660332455330903,0.03209704145703263
2,BLOC1S5,1.9718984,0.012737655454845042,0.03227501823175511
2,IL1A,6.105552,0.013038980937852178,0.032932646991841494
2,TOM1,1.2144654,0.01307493482392133,0.03300046554625758
2,PPP1R9B,1.604615,0.01327825731094623,0.033429856982711434
2,RALGDS,1.2086991,0.013336326942535436,0.03356207114915172
2,C4orf33,1.9860903,0.013437350022121071,0.033778788496878195
2,GPR35,4.427785,0.013509967144574435,0.0339378013344929
2,CNTLN,1.7074873,0.013564436739727546,0.03406047164164583
2,NUDT16,1.1448468,0.01364231749306077,0.03422284655365522
2,CREB5,1.4384042,0.013645483099989654,0.03422605121814203
2,MYCL,2.5737927,0.013881901402632214,0.03474877059702259
2,PPM1F,1.6280276,0.013881449960840599,0.03474877059702259
2,SNX30,2.0729897,0.013935635628517386,0.03485735711855038
2,FAM26F,6.785284,0.014188689228318686,0.035426772677924635
2,PREX1,1.0019158,0.014087656448806494,0.03521331335459395
2,FYB,5.308345,0.014459826175796522,0.036024363536099994
2,HSD17B14,1.8705943,0.014608954846874873,0.03632599787507556
2,LILRA6,26.058653,0.014920646264664855,0.03700965446628076
2,MAN2B2,1.4046749,0.014958603505772989,0.037078436448673174
2,USP30-AS1,3.1932619,0.015118256126888255,0.03741278209038954
2,PIK3CD,1.9073339,0.01514360415597281,0.03747039483146589
2,ABCC3,1.7379566,0.015236772178908875,0.03765979946646866
2,AC103591.3,2.0997138,0.01531149939733065,0.03783418069457643
2,RMDN3,1.146462,0.015321597518477809,0.0378488141479214
2,FHAD1,2.8479576,0.015460237806504422,0.038154898668278515
2,COMMD9,1.0806797,0.015435598245174086,0.038099276877760165
2,FUT4,3.6542294,0.01560418716134158,0.038436893691213316
2,TMEM127,1.2921035,0.015535928208803663,0.03829477435966603
2,SAMD4A,1.7550789,0.01569700343690947,0.03862353485826768
2,PCNX1,1.3417144,0.016074821929341947,0.03947815974978749
2,ITGAL,1.8234245,0.016102002698181742,0.039523493962077244
2,ZBTB4,1.2892449,0.016207068336709932,0.03972758995801771
2,NSMAF,1.3575076,0.016211922791985765,0.0397339454498977
2,LPIN2,1.2058979,0.016292632693735883,0.03990495241715314
2,RXRA,1.2827891,0.01637550175007211,0.04009166939810334
2,ANO6,1.1354733,0.01660945869443059,0.0405986593519341
2,SNTB1,2.8703003,0.01676427223602321,0.04089986040678234
2,U62317.5,2.419823,0.016774642843584146,0.040916696029654996
2,AC245128.3,7.899216,0.016888217125394973,0.04114134011988102
2,WDR91,2.5280094,0.0168519601855093,0.041075095103230756
2,KCNQ1,2.6261895,0.017089550277044653,0.0415536254690796
2,PPP6R1,1.1803447,0.017148780049357708,0.0416864605008324
2,NLRC4,26.151009,0.017319965824799305,0.04204231238474842
2,MPND,1.6744725,0.017491000070821692,0.042393282294930446
2,ADCK2,1.3474685,0.01752623044768336,0.04245596409530352
2,RALB,1.0731149,0.017517631044928157,0.04244647746977847
2,RNF19B,1.5175593,0.017767159094784112,0.04295254557274651
2,CPNE8,1.6635281,0.01776913660561737,0.04295254557274651
2,COL4A3BP,1.3725872,0.017937655231150953,0.04328133187272528
2,EGR2,1.4260122,0.01796186494922153,0.043325978168268615
2,OXSR1,1.2197062,0.017948282928536473,0.043298978526161915
2,PAQR8,2.310285,0.018122117792139385,0.04363703895033351
2,AMPD2,1.9626116,0.018152277599241862,0.043698052595147044
2,SYT11,2.2096908,0.018170958430660532,0.04373721464248884
2,IL21R,2.318409,0.01821062411654987,0.04381523538103258
2,AL360012.1,3.4058645,0.01830503977414999,0.04400151916006058
2,TBC1D22A,1.4916803,0.01828505480680074,0.04397097220521053
2,RNF135,1.2456787,0.018340562958214346,0.04405769742162092
2,KIAA1109,1.0272473,0.01828833685580933,0.04397303119581585
2,KLHL24,1.0461733,0.018580569932263324,0.044539803115860525
2,SNX29,1.5084988,0.01890183337707752,0.045141612269409534
2,GAPVD1,1.1159092,0.018962957546960493,0.045264884310475755
2,HEXDC,1.6160138,0.01905468320359565,0.045465873691138387
2,ELMO1,1.4283167,0.019264789440911288,0.045906775101275
2,RNF217,1.9449689,0.019397315745629265,0.04616795463773919
2,FNDC3A,1.1035242,0.01933816358500122,0.046045302943033904
2,VPS41,1.1972585,0.01937867203532015,0.046129637292744365
2,JAZF1,1.8992504,0.019470195018816673,0.04629886201050634
2,SGTB,2.1092072,0.01952697251333952,0.046397356239258815
2,PRAM1,5.509227,0.019696978205825295,0.046749518015214056
2,GPBAR1,6.5812774,0.019841871363461733,0.04701001205142738
2,AL161935.3,5.095459,0.019881432250410093,0.047066830665167
2,AC004921.1,5.3230658,0.01993497463240583,0.04716590060996437
2,ZNF641,1.9729375,0.019838490176232928,0.04700814528425808
2,MDM2,1.0583804,0.019845971561285425,0.04701358161152913
2,TLR6,3.2525897,0.02019547104232259,0.04764228313172587
2,SGPP1,1.8881371,0.020276114650148423,0.04780763921218008
2,SLC46A1,2.1383228,0.020391731267971898,0.048055240859922854
2,ADCY3,1.8122252,0.02045903194397241,0.04819504510050525
2,SEPT6,1.0055894,0.020413473958836057,0.048100226498351904
2,P2RX4,1.2741476,0.020631320832338505,0.04850005871194398
2,CATSPER1,3.6038024,0.02089984882084458,0.04901689216916156
2,ENPP2,2.1046352,0.021283677945791276,0.04980754326405351
2,MSL3,1.1055752,0.02134667170078296,0.04992273486261034
3,FTH1,3.1980233,4.306397354376716e-71,1.3010344140464455e-67
3,LINC01238,10.185825,2.7464144308885665e-44,1.0822663997547183e-41
