group	gene	logFC	pvals	adj_pvals
28	PCOLCE2	2.2192984	1.5733777580942095e-16	1.133789570362736e-15
28	C21orf62	1.4058285	1.573954797265143e-16	1.1338637616322417e-15
28	PFKM	1.093136	1.5957482344174172e-16	1.148871478704436e-15
28	SUCLG2	1.1626233	1.7396291623284914e-16	1.2509534177814353e-15
28	ZNF577	2.9374428	1.8655952671753614e-16	1.3391189077140794e-15
28	DHX40	1.3144395	1.8259066064400674e-16	1.311811604272367e-15
28	ITFG3	1.5453111	2.0989118301305512e-16	1.5034343887760522e-15
28	COMMD3-BMI1	2.556837	2.506691901531231e-16	1.789094306443523e-15
28	PSMA6	1.0500454	2.535435194391996e-16	1.8090693181465805e-15
28	UBE2Q2P1	2.3079705	2.6539972956172336e-16	1.8931003077625225e-15
28	DPY19L2	1.9786998	3.107229514049033e-16	2.213091372469051e-15
28	NBPF9	1.7959015	3.1187365505152983e-16	2.2206258433663108e-15
28	MOXD1	3.9185216	3.2181089156015953e-16	2.2886562870783032e-15
28	JAM3	1.4326878	3.4677517569850963e-16	2.4625361868115365e-15
28	SDHAP2	1.7711078	3.5589329952141273e-16	2.526536077368248e-15
28	SPDYE1	1.9383118	4.1346761227308764e-16	2.9317832442144802e-15
28	EMC2	1.3803574	4.186036225166192e-16	2.9673215292619977e-15
28	PITRM1	1.8386738	4.2586856406221164e-16	3.0179254656817527e-15
28	SNHG11	2.3275068	4.304955123034701e-16	3.049810772441379e-15
28	SLC2A10	2.6437304	4.575590054145088e-16	3.2377037670114808e-15
28	PRICKLE2	1.8303226	4.630445829130081e-16	3.275550810272232e-15
28	SEMA3C	2.0277045	4.861558268676824e-16	3.434974567561111e-15
28	HERC2P7	2.8463843	4.951998451985233e-16	3.4937152500333577e-15
28	CD302	1.2120183	4.903246352288508e-16	3.461361954181944e-15
28	NET1	1.0356054	4.915819341335793e-16	3.469213667356983e-15
28	ZNF248	1.7292178	5.056452357882371e-16	3.565305750102378e-15
28	FBXO21	1.0504183	5.058460652300908e-16	3.5656705989119006e-15
28	LUST	1.8985302	5.178012292232121e-16	3.646717314290802e-15
28	EVC	2.4943595	5.243110289940703e-16	3.6903904886554366e-15
28	LRRC37A2	1.6056428	5.167475299260263e-16	3.640368386816132e-15
28	SLC41A2	1.7095888	5.216723164472566e-16	3.672898673084791e-15
28	PMS2P5	1.6250833	5.253772603927352e-16	3.696807277673741e-15
28	NIPAL3	1.8090978	5.624555686345482e-16	3.95305607846973e-15
28	CNR1	5.148222	6.10540586063974e-16	4.2847122056608175e-15
28	C18orf32	1.2159762	6.35832029822435e-16	4.455667933566709e-15
28	LUZP6	1.1281174	6.31750124171937e-16	4.429659255297631e-15
28	VPS39	1.2504307	6.394332283275268e-16	4.479591248362465e-15
28	STARD13	2.065031	6.651137671216782e-16	4.652683816393441e-15
28	STAT1	1.1273239	6.557701478199677e-16	4.590007206734026e-15
28	MAGEH1	1.2343245	7.122112794596411e-16	4.9792333150646705e-15
28	ATF2	1.1254228	7.227114645895188e-16	5.048215566176262e-15
28	TOX	2.195191	7.821439660843739e-16	5.460168487110325e-15
28	MAGED4	1.5240301	8.053860196690028e-16	5.619141608058209e-15
28	LRRC4C	2.2871902	8.217406267809347e-16	5.728233917435037e-15
28	FNIP1	1.087815	8.603449235515974e-16	5.993844898509628e-15
28	HMG20A	1.2935426	9.308311881253006e-16	6.4754768837675435e-15
28	DEDD	1.1307467	9.457876329610594e-16	6.577610589569542e-15
28	PPT2	2.0800834	9.970417018674748e-16	6.93003382259936e-15
28	NOTCH2	1.011369	1.036171218692358e-15	7.197823711142937e-15
28	DHRS4-AS1	2.1486583	1.0703469486195714e-15	7.433068516299156e-15
28	TCTN2	2.1004457	1.0755536697720453e-15	7.464891793365644e-15
28	VTA1	1.0528262	1.1261721657530398e-15	7.809411333231503e-15
28	LOC645212	2.2134798	1.1975432603909357e-15	8.292310989800233e-15
28	CPXM1	1.1195312	1.1824295071781772e-15	8.19002795342614e-15
28	PPWD1	1.1884981	1.3026139603170996e-15	9.001623255967661e-15
28	SNAP25	4.261753	1.4486443873533776e-15	9.976166948554776e-15
28	LOC100133331	1.6408194	1.4296834321099789e-15	9.851264375043031e-15
28	CERS5	1.1127048	1.4742159365946905e-15	1.0149344431645136e-14
