gene	logFC	pvals	adj_pvals	cluster
ABRACL	2.795234	1.452616889276783e-27	5.3015214937108866e-27	15
CDC14A	3.8475816	1.9684639660827438e-27	7.14505976799544e-27	15
TAGAP	3.2245424	3.0239758482154797e-27	1.093662151253338e-26	15
PDCD1	4.840472	4.768987754059395e-27	1.718554145606989e-26	15
CD55	2.2061477	1.1521984256934498e-26	4.137157722418132e-26	15
AQP3	4.8265977	1.3001846382172183e-26	4.651823392548187e-26	15
PSMB8	2.3150012	1.2216522704173502e-26	4.3786819728220435e-26	15
TRAF3IP3	4.2075505	1.8434221827291678e-26	6.571915089943557e-26	15
CD40LG	9.599402	3.2165648839528766e-26	1.1345907879904327e-25	15
PIK3R1	2.5499775	3.1897134423076236e-26	1.1271072234302557e-25	15
CCR7	5.405285	3.559866940198742e-26	1.253474274717867e-25	15
ANKRD36BP1	1.9936013	7.339264129489275e-26	2.5572348883237893e-25	15
DPP4	5.87022	9.993546476007528e-26	3.469981415280392e-25	15
CAMK4	4.786535	2.0205204717730456e-25	6.979345325640918e-25	15
PRDM1	2.1400342	3.8440686599035353e-25	1.3232594354229038e-24	15
PVRIG	3.574801	5.099810946717836e-25	1.7525123528239988e-24	15
TNFAIP8	2.7011967	5.7888765782628015e-25	1.985892479678491e-24	15
GIMAP5	3.4560757	6.683147057366459e-25	2.2848366008090457e-24	15
PYHIN1	3.8472474	7.567820334556808e-25	2.5828738343197297e-24	15
GZMK	4.2486863	1.9870359075836553e-24	6.690356591190759e-24	15
SELL	4.5029483	2.0405479248578644e-24	6.858984621370973e-24	15
OSTF1	2.0719023	1.9625409473457465e-24	6.619025117523597e-24	15
CD58	2.9291017	2.3393155826446034e-24	7.823797935266233e-24	15
CCR6	6.5640135	2.784274310722292e-24	9.280914369074307e-24	15
SH2D1A	4.0954866	2.7530799212736822e-24	9.192253493401276e-24	15
RCAN3	4.2824507	3.337654362628024e-24	1.1070163723476034e-23	15
CD27	5.0271764	3.4472321598342384e-24	1.1395808792840458e-23	15
PTPN7	3.521398	3.494964030162317e-24	1.1534534753010949e-23	15
APOBEC3G	2.725484	3.506562116603222e-24	1.15537466774406e-23	15
CASP8	2.8812964	7.15873587204773e-24	2.3471265154254852e-23	15
CCND3	1.9678245	1.3950797031769508e-23	4.5590839973102967e-23	15
S1PR1	3.1157975	2.8301978072826935e-23	9.203895308236402e-23	15
SASH3	3.3221626	4.9419274527211267e-23	1.6019213785157623e-22	15
PRKCQ	4.3705306	6.11525560930365e-23	1.97904712275199e-22	15
LOC374443	2.7480729	6.603373453947984e-23	2.1335616975599306e-22	15
HCP5	3.3242602	1.1954522962964834e-22	3.850087910777724e-22	15
BATF	4.479972	1.2730609994358345e-22	4.0934437280895003e-22	15
GLIPR2	2.9139092	4.247739112586168e-22	1.3549407057691125e-21	15
CD82	2.348196	5.602011112145715e-22	1.781243596866682e-21	15
MYO1G	3.4584198	6.645920061442589e-22	2.1098158925214568e-21	15
GBP2	2.6977746	6.90345574713406e-22	2.188100078330922e-21	15
PSTPIP1	3.5209002	9.628447882839355e-22	3.0421636280693065e-21	15
HMGB2	1.715491	1.6394678528049425e-21	5.1474657858867894e-21	15
PLIN2	1.9105427	4.909292407260867e-21	1.5317605014854497e-20	15
GPR65	2.9291396	5.232992030435973e-21	1.630215585805599e-20	15
IDI1	1.7348467	8.857128292271796e-21	2.7506609603328556e-20	15
MFNG	3.251837	2.30142943642739e-20	7.081321342853507e-20	15
APOBEC3C	2.4169838	3.920606971338956e-20	1.2007984598281642e-19	15
SP140	3.839152	4.5437891212189895e-20	1.389537957559324e-19	15
CCR5	3.9750018	5.708764534484224e-20	1.7378278643787592e-19	15
ZBTB1	1.8627801	1.9333297723739986e-19	5.8497118679999955e-19	15
DOK2	2.913475	2.5224935302729783e-19	7.609331916358908e-19	15
SLAMF1	5.5374947	4.586712746498973e-19	1.3773912151648568e-18	15
DENND2D	3.4439213	5.30399885115291e-19	1.5880236081296136e-18	15
PLAC8	2.9055371	6.902771277726366e-19	2.057457906922911e-18	15
LOC100130231	4.167264	9.75856818222375e-19	2.8957175614907267e-18	15
TSTD1	2.7911463	2.375482894316255e-18	6.986714395047808e-18	15
SIT1	4.6017447	4.3066664466156476e-18	1.259259194916856e-17	15
GZMM	3.2881186	4.355003019523764e-18	1.2715337283281061e-17	15
THEMIS	3.9483864	5.0191191760504515e-18	1.4611700658079915e-17	15
RGCC	2.3860238	5.519490772052768e-18	1.6045031314106884e-17	15
GBP5	4.017294	8.996701366152287e-18	2.60020270698043e-17	15
PDCL3	1.8270766	1.4077563455761705e-17	4.0452768551039385e-17	15
