names	scores	logFC	pvals	adj_pvals	cluster
SLC7A7	7.789507	6.0493073	9.043303983569803e-12	7.994021105093402e-11	2
PLXDC2	7.7844005	3.5016007	7.826655911295758e-12	6.968552672828392e-11	2
RGS2	7.769658	3.399523	8.171522711452011e-12	7.240713769500044e-11	2
EPSTI1	7.7315807	3.4144058	9.907459369425852e-12	8.716205326197268e-11	2
SIRPA	7.7268977	4.598523	1.1659547265447422e-11	1.020901117199721e-10	2
IL18	7.6949015	5.753853	1.4198994818035072e-11	1.2286952190313723e-10	2
ARHGAP18	7.675375	3.6265585	1.392754313531852e-11	1.2080345512911252e-10	2
VSIG4	7.6163673	8.907208	2.125047110774679e-11	1.796807568492549e-10	2
CPVL	7.6106052	5.590263	2.0845961500582205e-11	1.766647425336038e-10	2
RASGEF1B	7.5246825	3.807868	2.915736662056394e-11	2.3994759390419545e-10	2
LCP2	7.508367	3.3360744	2.7785153248756758e-11	2.2967816835381705e-10	2
TNFAIP3	7.5059896	2.843286	2.7070633908897672e-11	2.247775107716335e-10	2
CD84	7.499978	3.9418223	3.1394058722588514e-11	2.566394844689481e-10	2
ADA2	7.4923673	4.7393284	3.610157303336812e-11	2.9382227391694976e-10	2
ASAH1	7.479086	1.7897832	2.1417143114073484e-11	1.79855326832958e-10	2
SLC11A1	7.455879	6.326649	4.4976732275571004e-11	3.581660037892993e-10	2
ITGAX	7.4478335	5.863399	4.58048389941445e-11	3.6241730210570436e-10	2
CCDC88A	7.4477863	3.3204565	4.056162484827351e-11	3.265254985062541e-10	2
SLC15A3	7.4068365	4.7803802	5.510460301991319e-11	4.313872935653201e-10	2
A2M	7.406599	3.156761	4.426684239914012e-11	3.532742606151679e-10	2
FN1	7.3975015	2.9103305	3.981669404788219e-11	3.219314759451306e-10	2
CCR1	7.382362	5.03151	6.048983854211018e-11	4.685743258136207e-10	2
SLC2A3	7.3671103	3.2033472	5.650946463188529e-11	4.4144285795944216e-10	2
PARP14	7.3293524	2.4154189	6.01295491702074e-11	4.677445982819292e-10	2
ANXA1	7.328469	1.8895254	4.164017432500229e-11	3.344792263714858e-10	2
TMEM176A	7.3152914	2.538768	6.212865169106017e-11	4.792596409153806e-10	2
MS4A4A	7.290862	7.210327	9.89675055321619e-11	7.44775830837756e-10	2
