names	scores	logFC	pvals	adj_pvals	cluster
MTRNR2L1	42.353867	4.4410906	1.6784831266996312e-225	2.524574105499208e-224	46
PSMB1	42.284893	1.1444675	7.863835758994858e-229	1.1983685379029827e-227	46
MB	42.14338	3.2670832	2.1728973836244444e-224	3.2536228189351554e-223	46
SMARCE1	42.08352	2.5762389	1.8646513102762555e-224	2.794560750579798e-223	46
ENOPH1	42.010284	2.5574358	6.358268280804886e-224	9.499451064876467e-223	46
ZBTB10	41.849068	3.3725722	2.202491404329054e-222	3.270197618087685e-221	46
DDIT3	41.79678	3.0981317	4.099964953390814e-222	6.082128460932387e-221	46
HNRNPA1	41.74958	1.0856198	8.704609650035189e-225	1.306899338727978e-223	46
AIG1	41.550053	2.4230769	6.041425436441538e-221	8.914890037997608e-220	46
AGR2	41.48409	3.2090456	2.4860875471327475e-220	3.662093211171695e-219	46
MT1G	41.44964	2.9820917	3.987238022808457e-220	5.863040356116547e-219	46
ATP6AP1	41.41029	1.7865331	7.327126264732277e-221	1.0807350133921958e-219	46
TSPAN13	41.191162	1.7854804	1.1359466339282922e-219	1.6667010519942628e-218	46
TECR	41.169365	1.539348	7.325164528807395e-220	1.076186348930043e-218	46
SELT	41.076912	5.7978287	6.76287042803204e-217	9.806893083727742e-216	46
AMZ2	40.928703	2.401609	8.790981152405217e-217	1.2731360053230716e-215	46
TSC22D3	40.884968	2.0228143	4.012047986169624e-217	5.825458939572094e-216	46
NBN	40.678352	2.5652294	5.429894996910287e-215	7.809781650573239e-214	46
DDRGK1	40.614655	2.0100286	4.399059748127341e-215	6.3380095795506505e-214	46
CLDN3	40.61436	2.1426644	2.985494277359691e-215	4.305093016204703e-214	46
BTG2	40.5619	2.4647427	1.6937326553849786e-214	2.4298326344853537e-213	46
LRPAP1	40.557854	1.7955412	4.3495902577351686e-215	6.269428742359058e-214	46
VDAC3	40.49745	1.7900785	1.317891399801379e-214	1.891458940553618e-213	46
ERH	40.45041	1.004354	7.063356857188125e-217	1.0238204509375407e-215	46
NOSIP	40.42854	1.8569252	5.001949977444595e-214	7.1513386271726e-213	46
CLDN7	40.426453	1.8939826	4.106123286196639e-214	5.875575134058084e-213	46
NPC2	40.422592	1.2144637	1.0132381995448491e-216	1.4667683405668445e-215	46
TM2D2	40.349537	2.5055144	7.25870827437873e-213	1.032941596227989e-211	46
CCND1	40.348846	2.4452932	6.737563677807797e-213	9.591877050821364e-212	46
VAMP2	40.344757	1.7330081	9.795021732285367e-214	1.3992113454965227e-212	46
TMEM150C	40.278496	3.7134876	7.51044295903273e-212	1.0629019716831931e-210	46
ADH5	40.200985	2.2523065	4.933319209732341e-212	6.993595080880492e-211	46
CAND1	40.165615	2.1406834	6.362514269373755e-212	9.01203932048417e-211	46
NOP56	40.128395	1.9297514	5.622175052280179e-212	7.96676693825642e-211	46
MPST	40.038895	2.0666716	4.273613029741601e-211	6.032881087144909e-210	46
RNF187	39.99041	2.4266152	1.627767168623813e-210	2.2930255608068592e-209	46
ZNF552	39.86272	2.761167	1.9369422828370838e-209	2.7160109159129864e-208	46
LINC00657	39.739204	6.5767174	6.311233437261469e-208	8.823888316764775e-207	46
FADD	39.644684	2.9602084	8.082514352476506e-208	1.1286245374538487e-206	46
SDC4	39.574375	2.193657	6.5322260275925215e-208	9.125255859703489e-207	46
TMEM9	39.48036	1.9235401	1.5255619725378147e-207	2.125836066509798e-206	46
ZSCAN18	39.389168	3.079939	4.6766515370309906e-206	6.476447943994899e-205	46
URI1	39.337425	2.2802582	3.4995465755060064e-206	4.848339185834241e-205	46
METTL23	39.288193	2.2135038	6.983544005224775e-206	9.659177298113162e-205	46
PPCS	39.281612	1.7694479	2.3922079212432182e-206	3.3169510494592303e-205	46
EIF3E	39.235897	1.1102326	1.1582287455366546e-207	1.6153077070288952e-206	46
ANKRD46	39.1009	3.428413	5.628273006158677e-204	7.727298604157518e-203	46
RALY	39.09297	1.5485786	2.05097006911854e-205	2.828601442775697e-204	46
TNNT1	39.090866	2.6638386	2.358594541823537e-204	3.247521327064994e-203	46
TTC19	39.03296	2.227753	3.704590138998691e-204	5.0945329172675324e-203	46
NAA20	38.888012	1.5369488	4.251199326003692e-204	5.839044905548315e-203	46
LYPLA1	38.830265	1.4789466	3.955939624313149e-204	5.437957825372431e-203	46
MRPL12	38.81144	1.8129598	3.9663054720240714e-203	5.42110235685246e-202	46
DHCR7	38.782703	2.8964424	5.572761190053093e-202	7.576651117777495e-201	46
SHFM1	38.764435	4.864004	1.4048882240134032e-201	1.9046627292495375e-200	46
SRP9	38.52758	1.0369693	1.7274758384708698e-203	2.364949677475569e-202	46
YWHAZ	38.439182	1.0030979	2.3509100627346936e-202	3.2053607485440795e-201	46
DYRK2	38.401512	3.4459052	2.986216156674717e-199	4.019288768500268e-198	46
TOB1	38.393505	2.1133833	8.483094314758937e-200	1.1436152186950542e-198	46
ESR1	38.26153	2.1115615	2.4235358837642606e-199	3.26326042060767e-198	46
MGP	38.225266	2.520216	1.7501220034560584e-199	2.357463538872275e-198	46
FO538757.2	38.17652	7.5249076	2.1208552485948653e-197	2.8340878841880627e-196	46
CD24	38.112427	1.8941005	5.56712193011663e-199	7.481043135338215e-198	46
APEX1	38.11044	1.4396421	7.900171056124763e-199	1.0611919799498625e-197	46
TSFM	37.963654	2.5366035	1.2194272621387812e-196	1.623048007912574e-195	46
GLOD4	37.91857	2.2034416	1.4755805625286138e-196	1.962428534804609e-195	46
MYL6B	37.865288	2.1194286	3.4349755945359377e-196	4.561065574676559e-195	46
CLNS1A	37.701294	1.4998795	5.287711337044559e-196	7.01285590968017e-195	46
CSNK2B	37.632023	1.3974906	1.1052754753647838e-195	1.4601041638129267e-194	46
APP	37.563652	1.630782	1.0399754770466894e-194	1.3684510582825818e-193	46
SRP72	37.558647	1.6410565	1.2467931344347953e-194	1.639305704511073e-193	46
PLPP5	37.543514	2.005799	3.393256529869458e-194	4.458018694412514e-193	46
HEBP1	37.537834	2.0094514	4.268502874010138e-194	5.605710841706109e-193	46
LLPH	37.372894	2.1544483	7.701929093077196e-193	1.0071360768456229e-191	46
TIMP3	37.362103	3.1775484	1.8315115685661924e-192	2.3893710432235962e-191	46
ARL5A	37.322723	2.438088	2.3453442641976197e-192	3.05733353927137e-191	46
NGFRAP1	37.222298	5.6467905	5.074888352833659e-191	6.592441140294103e-190	46
MARCKS	37.087917	1.6980131	8.004976671269378e-192	1.0418894937176802e-190	46
PROSC	37.006264	7.565782	1.7629203712882538e-189	2.2698699490740624e-188	46
NCOR1	36.990826	1.6778393	9.629320154980393e-191	1.2494275718305507e-189	46
CANT1	36.98085	2.3565593	5.502374753205125e-190	7.114693585090713e-189	46
PRMT1	36.832355	1.5634874	7.801358483869605e-190	1.0075678279070868e-188	46
BCAP31	36.761803	1.2938854	8.823772884958732e-190	1.1391769296936138e-188	46
SRSF9	36.70289	1.1183738	5.842144913783455e-190	7.551113007830861e-189	46
KDELR1	36.669388	1.3266408	4.055756491059646e-189	5.2160325332297386e-188	46
MYLIP	36.552532	2.4424334	5.572371389401918e-187	7.10117434543806e-186	46
C14orf1	36.531635	6.9092655	2.894520767200159e-186	3.680254778341946e-185	46
MAP2K2	36.4225	2.267885	2.8298430963389173e-186	3.60074989735598e-185	46
EIF3L	36.340275	1.2749395	6.727403851076096e-187	8.569838684730092e-186	46
FAM127B	36.339584	6.4503074	5.7085978642772955e-185	7.203614784263535e-184	46
RNF167	36.316124	2.023649	9.177352052547618e-186	1.1637715130226832e-184	46
BNIP3	36.221283	2.0106807	3.440330688843499e-185	4.3478572582705275e-184	46
ERGIC1	36.19274	1.9800711	6.878547621062254e-185	8.676696718993947e-184	46
VPS28	36.177544	1.1868327	4.283438953001392e-186	5.444138913323975e-185	46
DCTN2	36.095142	1.9082961	3.396441818138484e-184	4.2778841540436685e-183	46
NDUFA9	36.07332	2.0892663	6.28377605866936e-184	7.899705126830173e-183	46
UFD1L	36.016518	6.301944	8.996470641582827e-183	1.1217495233804074e-181	46
ATP6V1H	35.99879	2.04749	1.6475977401472864e-183	2.0604800821133534e-182	46
XRCC6	35.981632	1.5435477	8.258330674801431e-184	1.0358738562584697e-182	46
YIPF3	35.961136	1.5655782	8.715904510030187e-184	1.0928603856856916e-182	46
EPCAM	35.87204	1.570433	1.9365662017631086e-183	2.4209603791776528e-182	46
YBX3	35.834106	1.3943017	1.4909648609829743e-183	1.865987029933953e-182	46
PRDX6	35.80469	1.0647918	1.0260373524421776e-183	1.2860358310262736e-182	46
AAMP	35.758457	1.9241257	6.361095566682206e-182	7.902129866743995e-181	46
POLR2C	35.650406	2.1427662	4.970710733407114e-181	6.154396777748542e-180	46
METTL12	35.62875	8.404199	4.189053529184309e-180	5.1580412783542915e-179	46
CHKA	35.623306	3.213582	2.20130443335486e-180	2.7144835293807118e-179	46
PBX1	35.6199	1.532623	1.0964760151600465e-181	1.3595897236407808e-180	46
PSMD8	35.612328	1.1574403	5.1614034333696786e-182	6.414176826923023e-181	46
SF1	35.599472	1.4392854	3.276328978080414e-181	4.059525314140937e-180	46
WBP5	35.59269	5.5139003	6.258579472763683e-180	7.6978002968818e-179	46
RBM3	35.44851	1.0681007	3.3989275741762844e-181	4.2098755452528345e-180	46
IMPDH2	35.429237	1.6146	6.35337472760509e-180	7.811530122382783e-179	46
CRABP2	35.385048	1.5862182	2.227345156064751e-180	2.7455855891057632e-179	46
ATXN10	35.262142	1.8428124	1.5667488481249514e-178	1.9164961019314002e-177	46
GCAT	35.224293	3.2855487	1.289511128898578e-177	1.5739262290533916e-176	46
PSMD3	35.186295	1.8150896	3.6277559108011986e-178	4.432734462811767e-177	46
TSPAN31	35.163284	2.693543	2.2045129956222215e-177	2.689762473123497e-176	46
RABAC1	35.159393	1.191249	7.687870443084762e-179	9.417781684861432e-178	46
PIGT	35.126366	1.8051072	1.2836062526501049e-177	1.5672893090694273e-176	46
TMEM59	35.093365	1.0600911	1.5899521201434726e-178	1.9441700350613275e-177	46
CCT7	35.035503	1.7978735	7.038214695252719e-177	8.571850366502231e-176	46
ACADVL	34.95939	1.6958163	1.3298118762340995e-176	1.6172306069894102e-175	46
DUSP1	34.881016	1.8879089	5.359549555276448e-176	6.499083573157171e-175	46
NEU1	34.74374	1.9597502	7.404815212527235e-175	8.940421419847948e-174	46
PSMB6	34.740543	1.2469211	1.0194931198313819e-175	1.2344699903344544e-174	46
TFAP2A	34.677593	1.7387218	8.378223563029309e-175	1.0112054570981145e-173	46
CTSB	34.627125	1.2991883	6.840033773605651e-176	8.291347047362022e-175	46
MRPL18	34.621136	1.4300624	1.3784134077596587e-174	1.661875057860054e-173	46
GABARAPL2	34.547573	1.1537875	1.35389161042743e-174	1.632897465132917e-173	46
CCDC91	34.537376	2.2736423	2.9219910164370355e-173	3.506493763231292e-172	46
